espèce,description
Schefflera abyssinica,"Le genre Schefflera constitue un groupe d’arbres tropicaux vivaces au luxuriant feuillage persistant de la famille des Araliaceae, originaires de l’Asie et de l’Amérique centrale, où ils peuvent atteindre 30 m de haut. Au Queensland en Australie, il forme un petit arbre pouvant mesurer jusqu’à 12 m. En zone humide, ils poussent aussi en épiphytes sur des rochers ou des arbres. 
Il est dédié à Jacob Christian Scheffler, botaniste allemand du XIXe siècle.
Le genre comprend environ 150 espèces et 900 variétés, originaires des zones tropicales et subtropicales humides, mais on cultive essentiellement les variétés arboricola et actinophylla aux feuilles vertes ou panachés de jaune ou d’ivoire, selon les hybrides, comme plantes tropicales d’intérieur, et peuvent atteindre 1,50 m (arboricola) et 3 m (actinophylla) dans les appartements. Cette plante est appréciée pour sa capacité à purifier l’air des appartements.
Ils portent les surnoms de parasol, d’arbre-parapluie, d’arbre-ombrelle, ou d’arbre du bureau. Son nom local en Nouvelle-Calédonie, est Petit Boux.
Les 37 espèces américaines de Schefflera J.R. et G. Forst. sont retournées dans le genre Didymopanax Decne. & Planch.."
Schefflera Mannii,"Schefflera mannii (Hook.f.) Harms est une espèce de plantes de la famille des Araliaceae et du genre Schefflera, endémique de la ligne montagneuse du Cameroun."
Tessmannia africana,"Tessmannia est un genre de plantes dicotylédones de la famille des Fabaceae (Légumineuses), sous-famille des Caesalpinioideae, originaire d'Afrique, qui comprend une douzaine d'espèces acceptées.
Ce sont des arbres  dont certaines espèces sont exploitées pour leur résine (copal) ou leur bois utilisé comme bois d'œuvre (menuiserie, traverses de chemin de fer, manches d'outils, poteaux)."
Alternanthera sessilis,"Alternanthera est un genre qui regroupe plus de 80 plantes herbacées, dont un certain nombre peut être utilisé en aquarium."
Pimpinella Ledermannii,"Pimpinella ledermannii H. Wolff est une espèce d'herbes de la famille des Apiaceae et du genre Pimpinella, présente en Afrique tropicale."
Lagenaria guineensis,"Lagenaria est un genre de lianes de la famille des Cucurbitacées donnant des courges, également connu sous le nom de gourde.
Le genre est composé d'au moins sept espèces dont la plus connue est la calebasse (Lagenaria siceraria)."
Anthocleista liebrechtsiana,"Anthocleista est un genre d'arbres de la famille des Gentianaceae, présente en Afrique tropicale."
Cardiospermum halicacabum,"Pois est un nom vernaculaire donné en français à des plantes ou des légumes de la famille des Fabaceae, du genre Pisum, plus particulièrement de l'espèce Pisum sativum, appelée « petit pois » ou simplement « pois ». On trouve également dans cette espèce les pois mangetout, les pois fourragers ainsi que les pois sauvages.
Néanmoins, de nombreuses autres plantes d'espèces différentes, consommées ou non par l'homme, sont appelées « pois », souvent par analogie de forme de leurs graines avec celles du pois cultivé. Ce sont, sauf exception, également des plantes de la famille des Fabaceae."
Deinbollia pycnophylla,Deinbollia est un genre de plantes de la famille des Sapindaceae.
Griffonia speciosa,"Griffonia est un genre de plantes la famille des Caesalpiniaceae selon la classification classique, ou des Fabaceae (sous-famille des Caesalpinioideae) selon la classification phylogénétique."
