espèce,description
Schefflera abyssinica,1. Schefflera abyssinica
Schefflera Mannii,3. Schefflera Mannii (Hooker fil.) Harms
Hydrocotyle sibthorpioides,1. Hydrocotyle sibthorpioides Lamarck
Hydrocotyle hirta,2. Hydrocotyle hirta R. Brown ex A. Richard
Hydrocotyle bonariensis,3. Hydrocotyle bonariensis Lamarck
Diplolophium africanum,1. Diplolophium africanum Turczaninow
Diplolophium diplolophioides,2. Diplolophium diplolophioides (Wolff) Jacques-Félix
Pimpinella Ledermannii,2. Pimpinella Ledermannii H. Wolff
Pimpinella Buchananii,3. Pimpinella Buchananii Wolff
Peucedanum Winkleri,1. Peucedanum Winkleri Wolff
Peucedanum Zenkeri,2. Peucedanum Zenkeri Engler ex Wolff
Peucedanum angustisectum,3. Peucedanum angustisectum (Engler) Norman
Anthocleista djalonensis,1. Anthocleista djalonensis A. Chevalier
Anthocleista laxiflora,2. Anthocleista laxiflora Baker
Anthocleista liebrechtsiana,3. Anthocleista liebrechtsiana De Wild. & Th. Dur.
Anthocleista microphylla,4. Anthocleista microphylla Wernham
Anthocleista obanensis,5. Anthocleista obanensis Wernham
Anthocleista scandens,6. Anthocleista scandens Hooker f.
Anthocleista schweinfurthii,7. Anthocleista schweinfurthii Gilg
Anthocleista vogelii,8. Anthocleista vogelii Planchon
Mostuea batesii,1. Mostuea batesii Baker
Mostuea brunonis,2. Mostuea brunonis Didrichsen
Mostuea neurocarpa,4. Mostuea neurocarpa Gilg
Section Breviflorae,"2. Section Breviflorae Prog. : S. dolichothyrsa Gilg ex Onochie & Hepper, S. urceolata"
Section Penicillatae,3. Section Penicillatae A. W. Hill : S. tchibangensis Pellegr. et S. longicaudata Gilg.
Section Aculeatae,4. Section Aculeatae Duvign. : S. aculeata Solered.
Section Spinosae,"5. Section Spinosae Duvign. : S. cocculoides Bak, S. spinosa Lam, S. ternata Gilg ex"
Section Brevitubae,6. Section Brevitubae A. W. Hill : S. samba Duvign. et S.johnsonii Hutch. et M. B. Moss.
Section Lanigerae,"7. Section Lanigerae A. W. Hill : S. talbotiae S. Moore, S. chrysophylla Gilg, S. meme-"
Section Densiflorae,"9. Section Densiflorae Duvign. : S. innocua Del, S.nigritana Bak, S. densiflora Baili,"
Strychnos aculeata,1. Strychnos aculeata Solereder
Strychnos angolensis,2. Strychnos angolensis Gilg
Strychnos asterantha,3. Strychnos asterantha Leeuwenberg
Strychnos barteri,4. Strychnos barteri Solereder
Strychnos boonei,5. Strychnos boonei De Wildeman
Strychnos campicola,6. Strychnos campicola Gilg ex Leeuwenberg
Strychnos camptoneura,7. Strychnos camptoneura Gilg & Busse
Strychnos canthioides,8. Strychnos canthioides Leeuwenberg
Strychnos chromatoxylon,9. Strychnos chromatoxylon Leeuwenberg
Cardiospermum grandiflorum,1. Cardiospermum grandiflorum Swartz
Cardiospermum halicacabum,2. Cardiospermum halicacabum Linné
Allophylus hirtellus,2. Allophylus hirtellus (Hooker fil.) Radlkofer
Allophylus spicatus,3. Allophylus spicatus (Poiret) Radlkofer
Allophylus conraui,4. Allophylus conraui Gilg ex Radlkofer
Allophylus ngounyensis,6. Allophylus ngounyensis Pellegrin
Allophylus welwitschii,7. Allophylus welwitschii Gilg
Allophylus lastoursvillensis,8. Allophylus lastoursvillensis Pellegrin
Deinbollia pycnophylla,2. Deinbollia pycnophylla Gilg ex Radlkofer
Deinbollia maxima,3. Deinbollia maxima Gilg
Deinbollia rambaensis,4. Deinbollia rambaensis Pellegrin
Deinbollia macrantha,5. Deinbollia macrantha Radlkofer
Deinbollia macroura,6. Deinbollia macroura Gilg ex Radlkofer
Deinbollia dasybotrys,7. Deinbollia dasybotrys Gilg ex Radlkofer
Deinbollia cuneifolia,8. Deinbollia cuneifolia Baker
Pancovia pedicellaris,2. Pancovia pedicellaris Radlkofer & Gilg
Pancovia laurentii,5. Pancovia laurentii (De Wildeman) Gilg ex De Wildeman
Placodiscus opacus,5. Placodiscus opacus Radlkofer
Placodiscus glandulosus,6. Placodiscus glandulosus Radlkofer
Crossonephelis africanus,1. Crossonephelis africanus (Radlkofer) Leenhouts
Crossonephelis unijugatus,2. Crossonephelis unijugatus (Pellegrin) Leenhouts
Aporrhiza letestui,1. Aporrhiza letestui Pellegrin
Aporrhiza lastoursvillensis,2. Aporrhiza lastoursvillensis Pellegrin
Aporrhiza talbotii,3. Aporrhiza talbotii Baker fil.
Aporrhiza multijuga,5. Aporrhiza multijuga Gilg
Laccodiscus ferrugineus,1. Laccodiscus ferrugineus (Baker) Radlkofer
Laccodiscus klaineanus,2. Laccodiscus klaineanus Pierre ex Engler
Laccodiscus spinulosodentatus,3. Laccodiscus spinulosodentatus Radlkofer
Lychnodiscus grandifolius,1. Lychnodiscus grandifolius Radlkofer
